,county,dr_2000,dr_2004,dr_2008,dr_2012,dr_2016,dr_2020
0,SHANNON - SD,0.8535586277521762,0.8462268628381585,0.8964996982498491,0.9338632750397456,0.0,0.0
1,FEDERAL PRECINCT - RI,0.0,0.0,0.0,0.8048048048048048,0.875,0.9286754002911208
2,DISTRICT OF COLUMBIA - DC,0.8515508137933767,0.8918386895503239,0.9245710975614343,0.9091311392818725,0.9086382152999987,0.9214969392140692
3,BRONX - NY,0.8628557887082533,0.8075665808374328,0.8871581962096694,0.9021445480379839,0.8851727814738612,0.8218659155085928
4,PETERSBURG - VA,0.7910866027843066,0.8102770106285044,0.8863577863577864,0.8978501382951973,0.8719715653561584,0.0
5,PRINCE GEORGE'S - MD,0.7948210614580613,0.8180636409879614,0.8886975771737794,0.8973394817198976,0.8813069149685567,0.17851172753056926
6,JEFFERSON - MS,0.8174882629107981,0.8133720930232559,0.8686800894854586,0.8912700203022784,0.8645077720207254,0.8513306038894575
7,OGLALA LAKOTA - SD,0.0,0.0,0.0,0.0,0.8640275387263339,0.8840625
8,CLAIBORNE - MS,0.7952329360780065,0.8152602894192821,0.8592402275646908,0.8822027716994895,0.8679775280898876,0.8478309732524163
9,BALTIMORE CITY - MD,0.8251647574894493,0.8195333461320548,0.8715971183243348,0.8719434656798094,0.846580229070768,0.17456340199022155
10,MACON - AL,0.8679651228626429,0.8291697671946423,0.8688057368759768,0.8702135847604388,0.8277899343544858,0.8148572738736674
11,MENOMINEE - WI,0.7696674776966748,0.8257309941520468,0.8680939226519337,0.8649237472766884,0.784206411258796,0.819496855345912
12,NEW YORK - NY,0.7977174592352707,0.794457940590295,0.8574117562429657,0.8140489294690294,0.8655692073567246,0.8597600530364055
13,STARR - TX,0.7685491493383743,0.7360188119824149,0.8449754901960784,0.8634183287048726,0.7912265758091993,0.5205706134094151
14,DISTRICT 99 - AK,0.0,0.0,0.0,0.0,0.8011695906432749,0.8614318706697459
15,PHILADELPHIA - PA,0.8004241063473395,0.8043761098641237,0.8310337374765566,0.8529378106317731,0.8253242155869372,0.814416956555167
16,SAN FRANCISCO - CA,0.7554364481246834,0.8337955041595374,0.8416021312995442,0.835314180986631,0.8503962621244381,0.8525610242744385
17,CLAYTON - GA,0.6521285951597667,0.7054157342921077,0.8299342303747058,0.8481476469547296,0.8423523837215563,0.21246350494908495
18,GREENE - AL,0.7970882620564149,0.7927548441449032,0.830914231856739,0.846629213483146,0.8223360655737705,0.8134031413612566
19,ZAVALA - TX,0.7714538484222944,0.7479153303399615,0.8418472652218782,0.8327402135231317,0.7762073027090695,0.6540306005937429
20,HOLMES - MS,0.7338992185394773,0.7576129666011788,0.8153943085162239,0.8410852713178295,0.8282565626547796,0.811829944547135
21,ST. LOUIS CITY - MO,0.7739915993330768,0.802921777126343,0.836753578667741,0.8271184552285056,0.794528588089122,0.8223759402989534
22,ORLEANS - LA,0.7594594445456101,0.7742652318838373,0.79324888746095,0.8029883469676136,0.8081200395628785,0.8314859491955303
23,SIOUX - ND,0.6954851104707013,0.7052631578947368,0.8309143686502177,0.7867132867132867,0.6152597402597403,0.6779089376053963
24,MARIN - CA,0.6425642483049815,0.7342924273082367,0.7797599092705265,0.7426328466502126,0.7805317613607806,0.8232561124302125
25,TAOS - NM,0.6460761817347407,0.740613414223121,0.8181925855738481,0.7808853249885912,0.6990825688073394,0.7636924509632734
26,HANCOCK - GA,0.7822423849643552,0.7647887323943662,0.8137661141804788,0.8091976516634051,0.7544692737430168,0.17917166866746698
27,KINGS - NY,0.8061318576255256,0.7184928320102358,0.794455757821478,0.7942477694398892,0.7951204374352195,0.764151763402073
28,SUFFOLK - MA,0.7137695852534562,0.758760830268653,0.7693567738029351,0.7744640225805782,0.7959778584638905,0.8021646305301862
29,ALAMEDA - CA,0.6936355029777318,0.7536175282037015,0.7875735271621777,0.7885340523334486,0.7869001293052061,0.8020816289428234
30,DEKALB - GA,0.7023774888626239,0.7271229344641648,0.7899261870115203,0.7778361876153005,0.7986160752580562,0.20780992114432423
31,SAN MIGUEL - NM,0.7138958628970636,0.7166556619346319,0.7974654199829998,0.7689634199322269,0.677611384987443,0.6840690313069118
32,CHARLOTTESVILLE - VA,0.586963097398669,0.7176699029126213,0.7835262422670126,0.7574436849107675,0.7965913136347454,0.0
33,DENVER - CO,0.6185775433961693,0.6960808138365623,0.7545381224381567,0.7359045920701107,0.7369279076214698,0.7955051557909651
34,DUVAL - TX,0.7932405566600398,0.7127841603519922,0.7480154229984124,0.766804788213628,0.6677063339731286,0.5095982584603206
35,TUNICA - MS,0.650464919695689,0.6870337477797513,0.758501040943789,0.7930168872660885,0.7476871320437343,0.7243121841661988
36,MULTNOMAH - OR,0.6351551308626995,0.7157135215912036,0.7668997285514518,0.7536891111586359,0.7330463564543489,0.7920670147673182
37,ALLENDALE - SC,0.7,0.7142857142857143,0.7527335984095428,0.7919769397069422,0.7614142538975501,0.12607848594489285
38,TODD - SD,0.6646586345381527,0.7216231555051078,0.7866049162807267,0.7913496195434522,0.7082352941176471,0.773139031114612
39,RICHMOND - VA,0.6358330308529946,0.687511263290683,0.7770422389755242,0.7647105260561087,0.7709739138550562,0.12294815537136357
40,SANTA CRUZ - CA,0.6148407937240424,0.7319461444308446,0.7745738647505942,0.7561097464507265,0.7393903167961745,0.7887901572112098
41,KANSAS CITY - MO,0.0,0.7398018709827963,0.7838583987625556,0.7724302276282511,0.7599863142588316,0.7878810055252662
42,MAVERICK - TX,0.6495828367103695,0.5927845325891967,0.781972758021757,0.7860456309760485,0.7651604356785399,0.5429427863938485
43,MORA - NM,0.6645367412140575,0.6638358103326256,0.7855072463768116,0.7487552661815396,0.6292503072511266,0.6496649292628444
44,NOXUBEE - MS,0.6828825191764231,0.7131229235880399,0.7644376899696048,0.7854406130268199,0.7798708288482239,0.7566960104888556
45,BROOKS - TX,0.762649115590292,0.681750186985789,0.7566045907319185,0.7848522679983354,0.7461479198767335,0.5917874396135265
46,ESSEX - NJ,0.7146544517341943,0.7039309067282303,0.762866503282498,0.7808685263960345,0.7745598744428078,0.7726947592170537
47,JIM HOGG - TX,0.7009735744089013,0.6508474576271186,0.7360881542699724,0.7804439112177565,0.7715903728173666,0.5879174852652259
48,SAN MATEO - CA,0.6428590703896314,0.696719551389236,0.734691320575551,0.7212830743385132,0.7566606443075984,0.778878346350444
49,DURHAM - NC,0.63716845539218,0.6796472444391752,0.7557214548163949,0.7579922990424915,0.776576530416181,0.2010516135486955
50,QUEENS - NY,0.7500350763585344,0.698455695449392,0.7495105405305909,0.7753519316117519,0.7535333256603725,0.7162233259240426
51,HUDSON - NJ,0.7062935809417965,0.6727352385376307,0.7334830690751281,0.7752146791963707,0.7472,0.7262437462477487
52,BOULDER - CO,0.5012175382808359,0.6628531241954828,0.7228506721470864,0.6968896762656059,0.7033729842353116,0.7718607934559534
53,SUMTER - AL,0.7251971090670171,0.7037152184050988,0.7498575498575498,0.7714529671267967,0.740290126345344,0.7388332538547131
54,DUKES - MA,0.6181120144534779,0.7267180154046213,0.7498341703780915,0.7273887673231219,0.7303077725612936,0.7701390507263264
55,SAN MIGUEL - CO,0.490937019969278,0.7156008957452102,0.7698850574712643,0.7030075187969925,0.6872256872256872,0.7623858558383524
56,SANTA FE - NM,0.6471872410098846,0.7110876132930514,0.7693809451282833,0.7346667629431728,0.711047960355013,0.7604558113515025
57,MAUI - HI,0.5983489604565838,0.6072738772928526,0.7670933982119755,0.7410026103220767,0.6445278660121282,0.6658549631214459
58,WEBB - TX,0.5739444426847423,0.5692078159591876,0.7144657311889964,0.7655670942781511,0.7434671821456814,0.6114303258914865
59,LOWNDES - AL,0.7299375300336377,0.7030393622321873,0.7486946963451497,0.7641271107565484,0.7305505685218432,0.7274323335771763
60,BULLOCK - AL,0.6922920065252854,0.6805172779308882,0.7407202216066482,0.7630590003757985,0.7494692144373672,0.7470192933015392
61,COOK - IL,0.6862866155708724,0.7024983483244642,0.7621286139756142,0.7399777390799449,0.7467501152359267,0.7434776690447412
62,HAWAII - HI,0.563704286276052,0.6085750927177568,0.7594446769083627,0.74422416238535,0.6360553131792746,0.6688113512651741
63,ARLINGTON - VA,0.6014911619334842,0.6760380348652932,0.7171298103546885,0.6910159172845385,0.7582319786413527,0.26858601233500845
64,BERKSHIRE - MA,0.638501287640336,0.7312340138763382,0.7494026916679268,0.7574202152405173,0.6745675354536056,0.7204163241420629
65,MAINE UOCAVA - ME,0.0,0.0,0.0,0.6781270464963982,0.756899147014551,0.0
66,ALEXANDRIA - VA,0.6093045163861665,0.6683898236202552,0.717312830424649,0.7110514772990424,0.7554705028375347,0.0
67,DANE - WI,0.6114875461353705,0.6601737836783361,0.7280155793298202,0.7103369375470526,0.7016582961579526,0.7546165648175271
68,CHITTENDEN - VT,0.5437049585514532,0.6354123764415156,0.7144175455417067,0.6957187337830825,0.6571003860078161,0.7538421786987752
69,PITKIN - CO,0.5303846153846153,0.684494867639114,0.737407184427052,0.6798014888337469,0.6968545091703887,0.7517772016392071
70,ROLETTE - ND,0.6095952705775353,0.6340257171117705,0.7505513895015439,0.7365992970123023,0.5589880159786951,0.6524710830704522
71,DIMMIT - TX,0.7135624833466561,0.6632080762759395,0.7504878728742682,0.7339732601988345,0.6737984496124031,0.6175668303327878
72,FALLS CHURCH - VA,0.5558734131950652,0.6467694326008527,0.6955555555555556,0.6892523364485982,0.7501611447724635,0.0
73,KAUAI - HI,0.6186561337436274,0.5996140858658948,0.7499265354099324,0.73470755163172,0.6248718435542054,0.6336388333283578
74,RIO ARRIBA - NM,0.6752913945606349,0.6502433495566371,0.7498819362455726,0.7472463012448674,0.6447103105256082,0.6609333654077459
75,KING - WA,0.6003188603638433,0.649530963567139,0.7030450136220868,0.6906904174516157,0.7194018221350247,0.7495289163961877
76,PERRY - AL,0.6946604458268533,0.6820568531595148,0.7236564377333983,0.7489752418429251,0.7245168624478969,0.7380497131931166
77,HUMPHREYS - MS,0.5801217038539553,0.6396473876585681,0.7105983574501369,0.748848810437452,0.7220785328003763,0.7199809023633326
78,MONTGOMERY - MD,0.6253981834226555,0.6597290625564453,0.7158477533858002,0.7092229688240145,0.7472482265652898,0.15721761222161226
79,SONOMA - CA,0.5953879577271758,0.6736778491164456,0.7363735061107212,0.7110222255066787,0.6937639727917043,0.7451559163228569
80,WILCOX - AL,0.6718689036285603,0.6754663850756776,0.7101940252540807,0.7430926576095253,0.709218698921216,0.6857530069456209
81,BUFFALO - SD,0.6274509803921569,0.7170035671819263,0.7418300653594772,0.7363494539781591,0.6040816326530613,0.6411657559198543
82,WAYNE - MI,0.690079843669296,0.693914155665134,0.741396971446414,0.7303600649649128,0.6678048642519393,0.6844598490032311
83,COAHOMA - MS,0.5926933947451063,0.641023202738684,0.7200265377689319,0.7386482131007679,0.7156642728904847,0.7081519821197506
84,SAN JUAN - WA,0.525403608736942,0.653152260111023,0.7002184028107492,0.6725505002831792,0.6656766289214776,0.7369099037660074
85,HINDS - MS,0.5330864760168622,0.5954906393091056,0.6939040326885204,0.7147270661370444,0.7139130342941034,0.7355367768388419
86,FALLS CHURCH CITY - VA,0.0,0.0,0.0,0.0,0.0,0.2700986506406622
87,COSTILLA - CO,0.6395631067961165,0.6651506537805572,0.7336476134354744,0.7294501905280348,0.6087662337662337,0.6260744985673352
